                   see                  see ['P1,1629 2855 1690 2884']
                 below                below ['P1,1711 2855 1830 2887']
X                    )                    } ['P1,1711 2855 1830 2887']
                     ,                    , ['P1,1711 2855 1830 2887']
                  with                 with ['P1,328 2898 404 2923']
                widely               widely ['P1,421 2898 533 2928']
             separated            separated ['P1,552 2898 712 2928']
                  ilia                 ilia ['P1,731 2898 795 2929']
                     ;                    ; ['P1,731 2898 795 2929']
                     a                    a ['P1,815 2905 832 2924']
                 cubic                cubic ['P1,851 2898 937 2924']
            projection           projection ['P1,956 2898 1126 2929']
                    is                   is ['P1,1144 2899 1171 2924']
               present              present ['P1,1189 2899 1313 2929']
                    on                   on ['P1,1332 2906 1370 2924']
                   the                  the ['P1,1390 2899 1440 2924']
               lateral              lateral ['P1,1459 2898 1569 2924']
               surface              surface ['P1,1587 2899 1710 2925']
                    of                   of ['P1,1728 2899 1761 2925']
                   the                  the ['P1,1778 2899 1830 2925']
             posterior            posterior ['P1,327 2942 478 2973']
                 iliac                iliac ['P1,498 2942 568 2968']
                  wing                 wing ['P1,589 2942 679 2974']
                     .                    . ['P1,589 2942 679 2974']
                   Pes                  Pes ['P1,700 2943 756 2968']
           tetradactyl          tetradactyl ['P1,779 2943 963 2974']
                  with                 with ['P1,984 2942 1059 2969']
                 short                short ['P1,1080 2942 1174 2974']
                     ,                    , ['P1,1080 2942 1174 2974']
                   non                  non ['P1,1195 2944 1414 2974']
X                    ?                    - ['P1,1195 2944 1414 2974']
               compact              compact ['P1,1195 2944 1414 2974']
            metatarsus           metatarsus ['P1,1434 2943 1629 2969']
                     .                    . ['P1,1434 2943 1629 2969']
X             Included           fftclttded ['P1,399 2987 545 3012']
                family               family ['P1,564 2986 683 3017']
                     :                    : ['P1,564 2986 683 3017']
         Segnosauridae        Segnosauridae ['P1,705 2987 947 3017']
                 Perle                Perle ['P1,967 2986 1064 3019']
                     ,                    , ['P1,967 2986 1064 3019']
                  1979                 1979 ['P1,1086 2987 1161 3013']
                     .                    . ['P1,1086 2987 1161 3013']
X           Distributz           Distribnfi ['P1,398 3030 708 3056']
X                    '                    o ['P1,398 3030 708 3056']
X                   on                   ft ['P1,398 3030 708 3056']
                     .                    . ['P1,398 3030 708 3056']
X                    .                    ? ['P1,398 3030 708 3056']
                     ?                    ? ['P1,398 3030 708 3056']
X                    .                    ? ['P1,398 3030 708 3056']
                    As                   As ['P1,398 3030 708 3056']
                   for                  for ['P1,733 3031 781 3057']
                   the                  the ['P1,806 3031 856 3057']
         Segnosauridae        Segnosauridae ['P1,881 3031 1133 3061']
