X                    ,                   t, ['P1,758 2960 894 3033']
                swampy               swampy ['P1,937 2978 1238 3035']
                     ,                    , ['P1,937 2978 1238 3035']
              sparsely             sparsely ['P1,1278 2960 1554 3035']
             vegetated            vegetated ['P1,1589 2959 1913 3034']
                 plain                plain ['P1,1950 2959 2143 3035']
                     .                    . ['P1,1950 2959 2143 3035']
                Access               Access ['P1,120 3055 347 3115']
                    is                   is ['P1,367 3053 417 3115']
                  poor                 poor ['P1,440 3072 625 3127']
                     ,                    , ['P1,440 3072 625 3127']
                 being                being ['P1,650 3054 834 3128']
              confined             confined ['P1,854 3054 1158 3117']
                    to                   to ['P1,1178 3064 1246 3117']
                     a                    a ['P1,1269 3072 1307 3117']
                single               single ['P1,1326 3055 1521 3128']
               railway              railway ['P1,1542 3056 1796 3128']
                  line                 line ['P1,1814 3054 1939 3115']
                 along                along ['P1,1960 3055 2149 3127']
                   the                  the ['P1,122 3151 227 3211']
               eastern              eastern ['P1,244 3159 486 3211']
                margin               margin ['P1,503 3149 745 3225']
                    of                   of ['P1,764 3150 839 3213']
                   the                  the ['P1,852 3150 957 3213']
               lowland              lowland ['P1,974 3150 1252 3213']
               serving              serving ['P1,1269 3150 1513 3227']
                   the                  the ['P1,1530 3150 1635 3213']
                 small                small ['P1,1653 3148 1833 3213']
X            community           commu-nity ['P1,1852 3168 2149 3211', 'P1,122 3247 254 3321']
                    of                   of ['P1,275 3246 349 3307']
              Moosonee             Moosonee ['P1,365 3248 720 3309']
                    on                   on ['P1,742 3264 828 3309']
                 James                James ['P1,848 3248 1059 3309']
                   Bay                  Bay ['P1,1082 3248 1236 3320']
                     .                    . ['P1,1082 3248 1236 3320']
                   The                  The ['P2,257 19 388 78']
                region               region ['P2,413 18 629 92']
                    is                   is ['P2,654 18 704 78']
               crossed              crossed ['P2,731 19 981 80']
                    by                   by ['P2,1007 19 1091 91']
               several              several ['P2,1117 19 1350 80']
                 major                major ['P2,1375 20 1584 93']
                 north                north ['P2,1610 21 1800 80']
                    to                   to ['P2,1824 27 1892 78']
X            northeast           north-east ['P2,1919 19 2149 80', 'P2,124 122 254 176']
X               ?owing              flowing ['P2,287 114 543 187']
                rivers               rivers ['P2,575 114 786 186']
                     ,                    , ['P2,575 114 786 186']
