               studies              studies ['P1,141 2688 433 2760']
                 prior                prior ['P1,465 2688 668 2777']
                    to                   to ['P1,695 2692 772 2760']
                  1982                 1982 ['P1,809 2688 998 2760']
                   was                  was ['P1,1028 2710 1189 2760']
              provided             provided ['P1,1217 2686 1579 2777']
                    by                   by ['P1,1607 2686 1705 2775']
             Hotchkiss            Hotchkiss ['P1,1733 2685 2142 2757']
                     (                    ( ['P1,10 2785 286 2874']
                  1982                 1982 ['P1,10 2785 286 2874']
                     )                    ) ['P1,10 2785 286 2874']
                     ,                    , ['P1,10 2785 286 2874']
                   and                  and ['P1,327 2787 479 2859']
                    in                   in ['P1,518 2787 599 2859']
                  this                 this ['P1,636 2785 816 2874']
                     ,                    , ['P1,636 2785 816 2874']
                    it                   it ['P1,855 2787 916 2859']
                    is                   is ['P1,955 2787 1020 2859']
              apparent             apparent ['P1,1063 2791 1441 2876']
                  that                 that ['P1,1480 2785 1654 2859']
                   the                  the ['P1,1689 2785 1822 2859']
               richest              richest ['P1,1862 2784 2144 2859']
                 fauna                fauna ['P1,8 2886 266 2975']
                     ,                    , ['P1,8 2886 266 2975']
X                   in                  lxl ['P1,292 2888 371 2958']
                 terms                terms ['P1,396 2892 634 2958']
                    of                   of ['P1,662 2886 745 2958']
X                 both                botl1 ['P1,758 2886 943 2958']
               numbers              numbers ['P1,968 2886 1333 2958']
                    of                   of ['P1,1361 2886 1444 2958']
