1	Hence	Hence	RB	O	hence	advmod	17	15	['P1,607 941 710 972']
2	,	,	,	O	,	_	0	15	['P1,607 941 710 972']
3	in	in	IN	O	in	_	0	15	['P1,725 942 754 966']
4	Argentina	Argentina	NNP	LOCATION	Argentina	prep_in	17	15	['P1,769 941 932 973']
5	,	,	,	O	,	_	0	15	['P1,769 941 932 973']
6	the	the	DT	O	the	det	8	15	['P1,948 941 994 967']
7	marine	marine	JJ	O	marine	amod	8	15	['P1,1012 941 1117 967']
8	Hettangian	Hettangian	NNP	MISC	Hettangian	conj_and	4	15	['P1,1134 941 1316 973']
9	,	,	,	O	,	_	0	15	['P1,1134 941 1316 973']
10	Sinemurian	Sinemurian	NNP	O	Sinemurian	conj_and	4	15	['P1,1331 940 1518 970']
11	,	,	,	O	,	_	0	15	['P1,1331 940 1518 970']
12	and	and	CC	O	and	_	0	15	['P1,1535 940 1590 966']
13	lowermost	lowermost	JJS	O	lowermost	conj_and	4	15	['P1,1606 940 1765 966']
14	Pliensbachian	Pliens-bachian	NNP	MISC	Pliensbachian	nsubjpass	17	15	['P1,1782 940 1892 966', 'P1,280 979 400 1006']
15	have	have	VBP	O	have	aux	17	15	['P1,412 980 484 1006']
16	been	been	VBN	O	be	auxpass	17	15	['P1,495 980 566 1006']
17	proved	proved	VBN	O	prove	_	0	15	['P1,578 980 679 1012']
18	only	only	RB	O	only	advmod	17	15	['P1,691 980 755 1012']
19	in	in	IN	O	in	_	0	15	['P1,767 981 795 1005']
20	the	the	DT	O	the	det	21	15	['P1,806 980 853 1006']
21	neighborhood	neighborhood	NN	O	neighborhood	prep_in	17	15	['P1,866 980 1069 1012']
22	of	of	IN	O	of	_	0	15	['P1,1082 979 1112 1005']
23	the	the	DT	O	the	det	26	15	['P1,1120 981 1167 1006']
24	Rio	Rio	NNP	LOCATION	Rio	nn	26	15	['P1,1180 981 1228 1005']
25	Atuel	Atuel	NNP	LOCATION	Atuel	nn	26	15	['P1,1241 980 1324 1006']
26	region	region	NN	O	region	prep_of	21	15	['P1,1338 981 1442 1011']
27	,	,	,	O	,	_	0	15	['P1,1338 981 1442 1011']
28	where	where	WRB	O	where	advmod	34	15	['P1,1454 980 1545 1006']
29	marine	marine	JJ	O	marine	amod	30	15	['P1,1559 980 1667 1006']
30	Triassic	Triassic	NNP	MISC	Triassic	nsubjpass	34	15	['P1,1680 980 1801 1006']
31	could	could	MD	O	could	aux	34	15	['P1,1813 979 1893 1006']
32	also	also	RB	O	also	advmod	34	15	['P1,280 1021 339 1046']
33	be	be	VB	O	be	auxpass	34	15	['P1,348 1020 381 1046']
34	represented	represented	VBN	O	represent	advcl	17	15	['P1,391 1020 578 1052']
35	.	.	.	O	.	_	0	15	['P1,391 1020 578 1052']

1	Elsewhere	Elsewhere	RB	O	elsewhere	advmod	13	16	['P1,595 1021 751 1047']
2	in	in	IN	O	in	_	0	16	['P1,760 1022 789 1045']
3	Argentina	Argentina	NNP	LOCATION	Argentina	prep_in	1	16	['P1,797 1020 961 1053']
4	,	,	,	O	,	_	0	16	['P1,797 1020 961 1053']
5	the	the	DT	O	the	det	9	16	['P1,969 1021 1016 1047']
6	oldest	oldest	JJS	O	oldest	amod	9	16	['P1,1025 1020 1114 1046']
7	Jurassic	Jurassic	JJ	MISC	jurassic	amod	9	16	['P1,1120 1021 1245 1046']
8	ammonite	ammonite	JJ	O	ammonite	amod	9	16	['P1,1253 1021 1534 1053']
9	?	-	NN	O	?	nsubj	13	16	['P1,1253 1021 1534 1053']
10	bearing	bearing	NN	O	bearing	nn	11	16	['P1,1253 1021 1534 1053']
11	levels	levels	NNS	O	level	dep	9	16	['P1,1542 1020 1628 1046']
12	usually	usually	RB	O	usually	advmod	13	16	['P1,1637 1020 1748 1052']
13	belong	belong	VBP	O	belong	_	0	16	['P1,1755 1020 1857 1052']
14	to	to	TO	O	to	_	0	16	['P1,1864 1024 1893 1045']
15	the	the	DT	O	the	dep	17	16	['P1,280 1060 327 1086']
16	upper	upper	JJ	O	upper	amod	17	16	['P1,338 1067 425 1092']
17	lower	lower	JJR	O	lower	prep_to	13	16	['P1,434 1060 517 1086']
18	or	or	CC	O	or	_	0	16	['P1,526 1068 557 1085']
19	the	the	DT	O	the	det	21	16	['P1,565 1060 613 1086']
20	upper	upper	JJ	O	upper	amod	21	16	['P1,624 1068 710 1092']
21	Pliensbachian	Pliensbachian	NN	MISC	pliensbachian	prep_to	13	16	['P1,720 1060 940 1086']
22	.	.	.	O	.	_	0	16	['P1,720 1060 940 1086']

1	Regionally	Regionally	RB	O	regionally	advmod	5	17	['P1,958 1059 1129 1092']
2	,	,	,	O	,	_	0	17	['P1,958 1059 1129 1092']
3	these	these	DT	O	these	det	4	17	['P1,1138 1060 1216 1086']
4	findings	findings	NNS	O	finding	nsubj	5	17	['P1,1226 1059 1348 1092']
5	imply	imply	VBP	O	imply	_	0	17	['P1,1358 1060 1444 1092']
6	a	a	DT	O	a	det	8	17	['P1,1454 1068 1470 1086']
7	substantial	substantial	JJ	O	substantial	amod	8	17	['P1,1482 1059 1652 1086']
8	modification	modification	NN	O	modification	dobj	5	17	['P1,1663 1059 1854 1086']
9	to	to	TO	O	to	_	0	17	['P1,1865 1063 1893 1085']
10	previous	previous	JJ	O	previous	amod	12	17	['P1,281 1101 411 1131']
11	palcogeographic	paleogeographic	JJ	O	palcogeographic	amod	12	17	['P1,420 1100 667 1133']
12	reconstructions	reconstructions	NNS	O	reconstruction	prep_to	5	17	['P1,676 1102 907 1127']
13	for	for	IN	O	for	_	0	17	['P1,915 1100 956 1126']
14	the	the	DT	O	the	det	16	17	['P1,964 1101 1011 1127']
15	Early	Early	JJ	O	early	amod	16	17	['P1,1021 1101 1104 1132']
16	Jurassic	Jurassic	JJ	O	jurassic	prep_for	12	17	['P1,1112 1101 1237 1126']
17	of	of	IN	O	of	_	0	17	['P1,1245 1100 1275 1126']
18	South	South	NNP	LOCATION	South	nn	19	17	['P1,1280 1100 1366 1126']
19	America	America	NNP	LOCATION	America	prep_of	16	17	['P1,1375 1101 1512 1126']
20	.	.	.	O	.	_	0	17	['P1,1375 1101 1512 1126']

1	Resumen	Resumen	NNP	O	Resumen	_	0	18	['P1,281 1166 510 1192']
2	.	?	.	O	.	_	0	18	['P1,281 1166 510 1192']

1	?	?	NN	O	?	_	0	19	['P1,281 1166 510 1192']
2	.	?	.	O	.	_	0	19	['P1,281 1166 510 1192']

1	En	En	IN	O	en	amod	6	20	['P1,281 1166 510 1192']
2	la	la	DT	O	la	det	6	20	['P1,527 1166 553 1192']
