                     ,                    , ['P1,307 1978 522 2011']
              composed             composed ['P1,537 1978 705 2011']
                    of                   of ['P1,717 1978 753 2005']
               initial              initial ['P1,764 1978 858 2006']
            colonisers           colonisers ['P1,871 1978 1043 2012']
                     ,                    , ['P1,871 1978 1043 2012']
                    is                   is ['P1,1058 1979 1081 2006']
              followed             followed ['P1,1094 1978 1238 2006']
                    by                   by ['P1,1251 1980 1290 2011']
             community            community ['P1,1303 1979 1493 2011']
                     2                    2 ['P1,1510 1980 1527 2005']
                     (                    ( ['P1,1541 1979 1691 2013']
              Kjaerina             Kjaerina ['P1,1541 1979 1691 2013']
                  typa                 typa ['P1,1707 1981 1776 2011']
           Association          Association ['P1,305 2019 521 2051']
                     )                    ) ['P1,305 2019 521 2051']
                     ,                    , ['P1,305 2019 521 2051']
              composed             composed ['P1,536 2019 704 2051']
                    of                   of ['P1,716 2019 752 2045']
                 later                later ['P1,762 2020 836 2045']
          successional         successional ['P1,848 2020 1047 2046']
                 stage                stage ['P1,1059 2022 1140 2051']
               species              species ['P1,1153 2021 1266 2051']
                    in                   in ['P1,1278 2020 1309 2045']
                     a                    a ['P1,1322 2029 1338 2046']
                  less                 less ['P1,1348 2020 1406 2046']
            physically           physically ['P1,1418 2020 1581 2052']
              stressed             stressed ['P1,1596 2020 1724 2046']
               setting              setting ['P1,309 2061 428 2093']
X                    .                    , ['P1,309 2061 428 2093']
                Severe               Severe ['P1,445 2061 548 2087']
           downgrading          downgrading ['P1,563 2060 776 2093']
                    of                   of ['P1,788 2061 824 2087']
           communities          communities ['P1,834 2061 1049 2088']
                     2                    2 ['P1,1062 2062 1080 2087']
                   and                  and ['P1,1094 2061 1153 2087']
                     3                    3 ['P1,1166 2062 1182 2088']
                should               should ['P1,1196 2060 1307 2087']
               produce              produce ['P1,1318 2060 1451 2093']
                     1                    1 ['P1,1466 2062 1494 2087']
                     .                    . ['P1,1466 2062 1494 2087']
             Community            Community ['P1,1509 2060 1706 2092']
X         compositions        com-positions ['P1,1719 2068 1799 2087', 'P1,311 2101 460 2134']
             fluctuate            fluctuate ['P1,473 2100 621 2128']
                   and                  and ['P1,635 2101 693 2128']
                 there                there ['P1,708 2101 789 2128']
                appear               appear ['P1,803 2109 912 2134']
                    to                   to ['P1,926 2104 958 2128']
                    be                   be ['P1,972 2102 1009 2128']
                  some                 some ['P1,1022 2109 1107 2128']
            predictive           predictive ['P1,1119 2101 1280 2134']
          successional         successional ['P1,1293 2101 1491 2128']
              patterns             patterns ['P1,1506 2104 1647 2133']
                     .                    . ['P1,1506 2104 1647 2133']
                   The                  The ['P1,1662 2101 1725 2128']
                  most                 most ['P1,310 2144 392 2168']
             important            important ['P1,403 2143 572 2174']
                    is                   is ['P1,584 2142 606 2168']
                   the                  the ['P1,620 2142 671 2169']
           development          development ['P1,685 2142 898 2175']
                    of                   of ['P1,910 2142 945 2169']
                     a                    a ['P1,958 2151 974 2169']
           trinucleiid          trinucleiid ['P1,986 2142 1156 2169']
             trilobite            trilobite ['P1,1169 2142 1311 2174']
                     ,                    , ['P1,1169 2142 1311 2174']
X                Ormia                Onnia ['P1,1327 2142 1422 2169']
                  spp.                 spp. ['P1,1436 2150 1511 2174']
                     ,                    , ['P1,1436 2150 1511 2174']
                   and                  and ['P1,1526 2142 1585 2169']
                     a                    a ['P1,1598 2151 1614 2169']
X            palace190           palaeo-190 ['P1,1626 2143 1742 2175', 'P1,324 2196 383 2223']
              taxodont             taxodont ['P1,325 2280 475 2308']
               bivalve              bivalve ['P1,488 2280 600 2308']
               mollusc              mollusc ['P1,612 2280 748 2314']
                     ,                    , ['P1,612 2280 748 2314']
             Nuculites            Nuculites ['P1,762 2280 919 2308']
            planulatus           planulatus ['P1,927 2280 1101 2313']
                    as                   as ['P1,1114 2290 1145 2309']
               initial              initial ['P1,1156 2281 1249 2309']
            colonisers           colonisers ['P1,1263 2281 1426 2309']
                    in                   in ['P1,1440 2281 1468 2308']
              offshore             offshore ['P1,1482 2280 1619 2308']
                  muds                 muds ['P1,1632 2281 1729 2316']
                     ,                    , ['P1,1632 2281 1729 2316']
                     a                    a ['P1,1743 2291 1759 2309']
               feature              feature ['P1,322 2323 436 2350']
                 known                known ['P1,451 2324 563 2350']
                  from                 from ['P1,577 2322 655 2349']
                 other                other ['P1,669 2323 757 2349']
                 Lower                Lower ['P1,771 2323 876 2350']
            Palaeozoic           Palaeozoic ['P1,888 2322 1061 2350']
             sequences            sequences ['P1,1074 2330 1245 2356']
                     .                    . ['P1,1074 2330 1245 2356']
          INTRODUCTION         INTRODUCTION ['P1,323 2431 625 2459']
                   The                  The ['P1,373 2528 445 2560']
                  type                 type ['P1,459 2530 544 2568']
               Caradoc              Caradoc ['P1,561 2528 715 2561']
                 rocks                rocks ['P1,731 2527 833 2561']
                    of                   of ['P1,850 2527 891 2560']
                 south                south ['P1,903 2516 1009 2560']
                 Salop                Salop ['P1,1026 2528 1144 2568']
                     ,                    , ['P1,1026 2528 1144 2568']
               England              England ['P1,1160 2526 1316 2568']
                     (                    ( ['P1,1331 2526 1461 2567']
                   Fig                  Fig ['P1,1331 2526 1461 2567']
                    .1                   .1 ['P1,1331 2526 1461 2567']
                     )                    ) ['P1,1331 2526 1461 2567']
               provide              provide ['P1,1477 2528 1620 2568']
                    an                   an ['P1,1636 2537 1679 2559']
             excellent            excellent ['P1,326 2577 500 2610']
           opportunity          opportunity ['P1,515 2578 750 2618']
                    to                   to ['P1,764 2580 805 2610']
                 study                study ['P1,819 2578 926 2617']
                facets               facets ['P1,941 2578 1052 2610']
                    of                   of ['P1,1067 2578 1107 2610']
              temporal             temporal ['P1,1120 2578 1293 2618']
                   and                  and ['P1,1308 2579 1376 2611']
               spatial              spatial ['P1,1391 2579 1515 2619']
                animal               animal ['P1,1530 2580 1657 2612']
X        relationships        relation-ship ['P1,1671 2580 1833 2613', 'P1,325 2628 429 2667']
X                    .                   s. ['P1,1671 2580 1833 2613', 'P1,325 2628 429 2667']
                   Not                  Not ['P1,447 2629 519 2660']
                  only                 only ['P1,535 2628 619 2668']
                   are                  are ['P1,635 2637 690 2661']
                   the                  the ['P1,705 2629 766 2661']
                 rocks                rocks ['P1,780 2629 883 2661']
            abundantly           abundantly ['P1,898 2628 1117 2668']
         fossiliferous        fossiliferous ['P1,1132 2628 1375 2668']
                     ,                    , ['P1,1132 2628 1375 2668']
X                  but                 but, ['P1,1390 2629 1457 2661']
                facies               facies ['P1,1470 2629 1576 2662']
